"videoId","title","filename","publishedAt","bang_count"
"gAQ60KwupZM","[Locked In] Day 3 | Group Ironman Mode Is Here! | The RS Guy VODS","[Locked In] Day 3  Group Ironman Mode Is Here!  The RS Guy VODS.txt","2024-11-08T00:42:59Z",48
"LKwaOhgX_Xo","[Locked In] Day 2 | Group Ironman Mode Is Here! | The RS Guy VODS","[Locked In] Day 2  Group Ironman Mode Is Here!  The RS Guy VODS.txt","2024-11-07T04:02:05Z",25
"nEjRJxdb44w","[Locked In] Day 1 | Group Ironman Mode Is Here! Let's get it! | The RS Guy VODS (Part 2/2)","[Locked In] Day 1  Group Ironman Mode Is Here! Let's get it!  The RS Guy VODS (Part 22).txt","2024-11-06T15:38:26Z",13
"Xw25B6BHK-o","[Locked In] Day 1 | Group Ironman Mode Is Here! Let's get it! | The RS Guy VODS (Part 1/2)","[Locked In] Day 1  Group Ironman Mode Is Here! Let's get it!  The RS Guy VODS (Part 12).txt","2024-10-29T05:57:36Z",3
"3xtWmd2upqE","Group Ironman Mode: Group Reveal Stream! | The RS Guy VODS","Group Ironman Mode Group Reveal Stream!  The RS Guy VODS.txt","2024-10-28T10:23:09Z",1
"bpCeHUEC5vg","Late night Adventure with @urboidakota | Washed up PvMers vs the world | The RS Guy VODS","Late night Adventure with @urboidakota  Washed up PvMers vs the world  The RS Guy VODS.txt","2024-10-24T22:00:40Z",1
"T0pV48RQ1Bc","STREAM DOESNT END UNTIL I MAX! 14 99's in one day! | The RS Guy","STREAM DOESNT END UNTIL I MAX! 14 99's in one day!  The RS Guy.txt","2024-10-21T09:11:18Z",42
"fv6WJZ9tgzk","Maxing my Hardcore Ironman TOMORROW! GIM Planning + Skilling | The RS Guy VODS","Maxing my Hardcore Ironman TOMORROW! GIM Planning + Skilling  The RS Guy VODS.txt","2024-10-21T03:54:54Z",56
"Gty1hcHUrJk","The Final Arc of Tall n Manly: Let's get a core! | The RS Guy VODS","The Final Arc of Tall n Manly Let's get a core!  The RS Guy VODS.txt","2024-10-18T01:45:20Z",16
"08AfpSrpySU","Road to a Frozen Core of Leng on a Hardcore Ironman!","Road to a Frozen Core of Leng on a Hardcore Ironman!.txt","2024-10-17T03:36:31Z",7
"YDOEv3Iw9Gk","Hardcore Ironman Streaking Arch-Glacor for a core! Melee/ Death Arc | The RS Guy VODS","Hardcore Ironman Streaking Arch-Glacor for a core! Melee Death Arc  The RS Guy VODS.txt","2024-10-16T19:15:35Z",5
"iOCJfXeCp1w","Hardcore Ironman 2000%+ Enrage Arch Glacor 200ks (Death Arc) | The RS Guy VODS","Hardcore Ironman 2000%+ Enrage Arch Glacor 200ks (Death Arc)  The RS Guy VODS.txt","2024-10-11T01:21:35Z",18
"rstn28lnEJ8","1500+ Enrage Hardcore Ironman Risks it all at Arch Glacor! | The Final Arc of Tall n Manly | The RS","1500+ Enrage Hardcore Ironman Risks it all at Arch Glacor!  The Final Arc of Tall n Manly  The RS.txt","2024-10-08T03:49:38Z",9
"r2N-V-93G00","1900+ Enrage Hardcore Ironman Risks it all at Arch Glacor! | The Final Arc of Tall n Manly | The RS","1900+ Enrage Hardcore Ironman Risks it all at Arch Glacor!  The Final Arc of Tall n Manly  The RS.txt","2024-10-08T02:49:29Z",14
"Vdil8TKjIcw","1100+ Enrage HCIM | The Final Arc of Tall n Manly | Hardcore Ironman Arch Glacor 200ks | The RS Guy","1100+ Enrage HCIM  The Final Arc of Tall n Manly  Hardcore Ironman Arch Glacor 200ks  The RS Guy.txt","2024-10-08T02:48:40Z",17
"Xpzt232Rg7Y","The Final Arc of Tall n Manly | Hardcore Ironman Arch Glacor 200ks","The Final Arc of Tall n Manly  Hardcore Ironman Arch Glacor 200ks.txt","2024-10-02T06:38:21Z",16
"-vOsNcCnJXI","The Final Arc of Tall n Manly | The RS Guy VODS","The Final Arc of Tall n Manly  The RS Guy VODS.txt","2024-09-30T02:53:20Z",17
"obom2eKLoEA","Hardcore Ironman x Gate of Elidinis! Insane Loot table, let's get some drops! | The RS Guy VODS","Hardcore Ironman x Gate of Elidinis! Insane Loot table, let's get some drops!  The RS Guy VODS.txt","2024-09-30T02:25:27Z",70
"flCxnqmuKKM","THE GATE OF ELIDINIS IS OPEN TO ALL!","THE GATE OF ELIDINIS IS OPEN TO ALL!.txt","2024-09-25T07:37:03Z",19
