"videoId","title","filename","publishedAt","bang_count"
"JQiaCAuuRMo","Make it Back From Your Hack Challenge! (part 2 of 2)","Make it Back From Your Hack Challenge! (part 2 of 2).txt","2015-02-05T02:41:23Z",0
"lxg1vuuaY8g","Make it Back From Your Hack Challenge! (part 1 of 2)","Make it Back From Your Hack Challenge! (part 1 of 2).txt","2015-02-01T22:42:09Z",0
"YQ6IQ1RkFkI","Testing the Supreme Overload and Brightfire potions! (elf city combination potions)","Testing the Supreme Overload and Brightfire potions! (elf city combination potions).txt","2015-01-06T18:24:03Z",0
"CDur0jqFF_8","Low Level Bandos (General Graardor) Solo Guide for EOC and Legacy! Runescape 2015!","Low Level Bandos (General Graardor) Solo Guide for EOC and Legacy! Runescape 2015!.txt","2014-12-29T19:39:24Z",1
"xgaX55pntF8","Roving Elves Quest Guide!","Roving Elves Quest Guide!.txt","2014-12-01T04:42:24Z",0
"yd-O-BZR0nM","Top 10 Unlockables for Player Killing!","Top 10 Unlockables for Player Killing!.txt","2014-11-22T19:46:36Z",0
"E_yGsLV0qdQ","Mini Pk Video ""1k Subs Edit!"" [Maxed Main Legacy PKing]","Mini Pk Video 1k Subs Edit! [Maxed Main Legacy PKing].txt","2014-10-16T23:17:39Z",1
"EYzCEvOXwBQ","Pure Progress #3 | Training attack? | Pking! |","Pure Progress #3  Training attack  Pking!.txt","2014-10-14T22:35:22Z",0
"LN2luOknCwc","I GOT MY NEW NAME!","I GOT MY NEW NAME!.txt","2014-10-12T05:56:46Z",0
"oi3WT7S1nSM","Runescape Detailed High level Queen Black Dragon (QBD) Guide! Legacy/EOC! | [outdated]","Runescape Detailed High level Queen Black Dragon (QBD) Guide! LegacyEOC!  [outdated].txt","2014-10-03T15:51:09Z",0
"teYx5LCZnb8","RS3 - Money Making Guide! 3.5 to 4.5M Per Hour! Muspah Guide for Mid/High Levels!","RS3 - Money Making Guide! 3.5 to 4.5M Per Hour! Muspah Guide for MidHigh Levels!.txt","2014-09-13T04:13:31Z",0
